"Now Shopping by","Comprar por"
"3 columns","3 colunas"
"AVS result code","Código de resultado AVS"
"CVN result code","Código de resultado CVN"
"Card number","Número do cartão"
"Card expiry date","Validade do cartão"
"Decision","Decisão"
"Transaction ID","ID Transação"
"Risk Score","Índice de Risco"
"Risk Factor","Fator de Risco"
"Reference number","Número de Referência"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Excesso de alterações de endereço. O cliente alterou o endereço de cobrança duas ou mais vezes nos últimos seis meses"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Risco BIN autoriza do cartão. Fatores de risco um relacionados ao cartão de crédito BIN e/ou verificações de autorização de crtão"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Números elevado de cartões. O cliente usou mais de seis números de cartões de crédito nos últimos seis meses"
"Email address impact. The customer uses a free email provider, or the email address is risky","Impacto do endereço de e-mail. O cliente utiliza um provedor de e-mail gratuito, ou o endereço de e-mail não é confiável"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Lista positiva. O cliente está na sua lista positiva. Guia de desenvolvedor de decisão Manager usando o simples ordem AP de 201 janeiro 10 apêndice informações e códigos de resposta"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Todos"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Inconsistência de Geolocalização. O domínio do e-mail, telefone, endereço de cobrança, endereço de entrega ou endereço IP do cliente é suspeito"
"Excessive name changes. The customer changed the name two or more times in the last six months","Excesso de alteração de nome. O cliente alterou o nome duas ou mais vezes nos últimos seis meses"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Inconsistências de Internet. O domínio do e-mail e o endereço IP não são consistentes com o endereço de cobrança"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Dados inconsistentes. Os campos de Nome e Endereço do cliente contém palavras ou linguagem sem sentido"
"Obscenities. The customer’s input contains obscene words","Obsceno. Os dados do cliente contém palavras obscenas"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","todos"
"Phone inconsistencies. The customer’s phone number is suspicious","Inconsistências de telefone. Número de telefone do cliente é suspeito"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Pedido de risco. A transação, cliente e informações de mercado mostram múltiplas co-relações de auto risco"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Conversão de tempo. O cliente está tentando uma compra fora do horário esperado"
"Unverifiable address. The billing or shipping address cannot be verified","Endereço não verificado. O endereço de cobrança ou entrega não pode ser verificado"
"Velocity. The account number was use  many times in the past 15 minutes","Excesso. O número da conta foi utilizado muitas vezes nos últimos 15 minutos"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Marcado como suspeito. O endereço de cobrança ou entrega é similar a um endereço anteriormente marcado como suspeito"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Ordem de presente. O endereço da rua, cidade, estado ou país de facturação e endereços para entrega não se correlacionam"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Valor inválido. Devido à requisição conter um valor inesperado, um valor padrão o substituiu. Embora a transação ainda possa ocorrer, verifique a requisição por anormalidades cuidadosamente no pedido"
"Unknown factor. Please contact Cybersource customer service","Fator desconhecido. Por favor, contate o serviço de atendimento ao cliente da Cybersource"
"Payment Token Build Error.","Erro na Geração do Token de Pagamento."
"Your payment has been declined. Please try again.","Seu pagamento foi recusado. Por favor, tente novamente."
"CC type field should be provided","Tipo do CC deve ser informado"
"Gateway validation error","Erro de validação de gateway"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Risk Factor Q","Fator de Risco Q"
"Risk Factor V","Fator de risco V"
"Place Order","Finalizar Pedido"
"Cybersource","CyberSource"
"Enabled","Habilitado"
"Payment Action","Ação de Pagamento"
"Title","Título"
"Merchant ID","ID do Comerciante"
"Transaction Key","Chave de transação"
"Profile ID","ID do perfil"
"Access Key","Chave de acesso"
"Secret Key","Chave secreta"
"New Order Status","Novo status do pedido"
"Test Mode","Modo de Teste"
"Debug","Depurar"
"Credit Card Types","Tipo do Cartão de Crédito"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento a partir de Países Específicos"
"Minimum Order Total","Total mínimo do pedidos"
"Maximum Order Total","Total máximo de pedidos"
"Sort Order","Ordenação"
"Authorize Only","Apenas Autorizar"
"Webhook URL","URL do webhook"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","A URL do Webhook deve ser definida na sua conta CyberSource como uma Página de Resposta da Transação."
"Is admin panel works on the different domain?","O painel de administração funciona no domínio diferente?"
"Admin Profile ID","ID do perfil administrador"
"Admin Access Key","Chave de Acesso do Admin"
"Admin Secret Key","Chave secreta do Admin"
"Admin Webhook URL","URL do Admin Webhook"
"The credit card type field needs to be provided. Select the field and try again.","O campo do tipo de cartão de crédito precisa ser fornecido. Selecione o campo e tente novamente."
"All","Todos"
"None","Nenhum"
"Allowed Scopes","Escopos Permitidos"
"More permissions are needed to delete the ""%1"" item.","Mais permissões são necessárias para excluir o item ""%1""."
"You need more permissions to apply some of the rule updates.","Você precisa de mais permissões para aplicar algumas das atualizações de regras."
"More permissions are needed to view this item.","Mais permissões são necessárias para visualizar este item."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Esta entidade necessita ser atribuída a uma visão da loja. Verifique a atribuição da entidade e tente novamente."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","O item precisar ser atribuído a uma visão da loja. Por favor, selecione um website para este produto em ""Produto nos Websites""."
"Orders can only be completed in an active store. Verify the store and try again.","Pedidos apenas podem ser completados em lojas ativas. Verifique a loja e tente novamente."
"This item needs to be assigned to a store view. Assign item and try again.","Este item necessita ser atribuído a uma visão da loja. Atribua o item e tente novamente."
"More permissions are needed to save this item.","Mais permissões são necessárias para salvar este item."
"More permissions are needed to delete this item.","Mais permissões são necessárias para excluir este item."
"Not allowed to edit the category's design attributes","Not allowed to edit the category's design attributes"
"At least one website or store group needs to be selected. Select and try again.","Pelo menos um site ou grupo de loja precisa ser selecionado. Selecione e tente novamente."
"More permissions are needed to set All Scopes to a Role.","São necessárias mais permissões para definir Todos os Escopo para uma Função."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","O ID do site ""%1"" está incorreto. Verifique o ID do site e tente novamente."
"You need more permissions to access website ""%1"".","Você precisa ter mais permissões para acessar o website ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","A identificação de loja ""%1"" é incorreta. Verifique se o ID de loja e tente novamente."
"More permissions are needed to save this setting.","São necessárias mais permissões para salvar esta configuração."
"Role Scopes","Escopos da Regra"
"Custom","Personalizado"
"Future Update already exists in this time range. Set a different range and try again.","Uma atualização futura já existe neste intervalo de tempo. Defina um intervalo diferente e tente novamente."
"Smth went to exception","Algo foi para a exceção"
"ID","ID"
"Rule","Regra"
"Priority","Prioridade"
"Web Site","Website"
"Action","Ação"
"Edit","Editar"
"Scheduled Changes","Mudanças Agendadas"
"Name","Nome"
"Description","Descrição"
"Update Information","Atualizar informações"
"Remove Catalog Price Rule from Update","Remover a regra de preço de catálogo da atualização"
"Schedule Update","Agendar Atualização"
"Update Name","Atualizar Nome"
"Start Date","Data de Início"
"End Date","Data de Término"
"Rule Information","Informações da Regra"
"Rule Name","Nome da regra"
"Active","Ativo"
"Websites","Websites"
"Customer Groups","Grupos de Cliente"
"Conditions","Condições"
"Actions","Ações"
"Apply","Aplicar"
"Discount Amount","Quantidade do Desconto"
"Discard subsequent rules","Descartar as regras subseqüentes"
"Yes","Sim"
"No","Não"
"Save as a New Update","Salvar como uma Nova Atualização"
"Move to Another Update","Mover para outra atualização"
"Delete the Update","Excluir a atualização"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","A regra de preço de catálogo será removida da atualização e todas as alterações programadas serão perdidas."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Hora de Início"
"End Time","Horário Final"
"Catalog Price Rules","Regras de Preço de Catálogo"
"Remove Catalog Price Rule from Campaign","Remover a regra de preço de catálogo da campanha"
